household_ID,Consumption
ID0001,91.36
ID0002,47.36
ID0003,188.52
ID0004,236.24
ID0005,94.04
ID0006,151.96
ID0007,82.72
ID0008,65.16
ID0009,26.08
ID0010,70.76
ID0011,84.88
ID0012,312.08
ID0013,153.08
ID0014,135.2
ID0015,96.08
ID0016,92.6
ID0017,27.68
ID0018,371.76
ID0019,88.96
ID0020,64.16
ID0021,0.52
ID0022,94.36
ID0023,51.72
ID0024,240.72
ID0025,60.6
ID0026,170.28
ID0027,77.24
ID0028,76.24
ID0029,98.04
ID0030,48.24
ID0031,28.52
ID0032,41.64
ID0033,77.92
ID0034,483
ID0035,53.8
ID0036,64.8
ID0037,44.28
ID0038,93.56
ID0039,197.32
ID0040,77.92
ID0041,89.04
ID0042,91.72
ID0043,NA
ID0044,29.96
ID0045,99.68
ID0046,129.52
ID0047,NA
ID0048,60.88
ID0049,193.8
ID0050,155.84
ID0051,48.32
ID0052,159.64
ID0053,71.24
ID0054,132.12
ID0055,87.64
ID0056,120.48
ID0057,120.44
ID0058,34.16
ID0059,89.2
ID0060,93.2
ID0061,83
ID0062,81.28
ID0063,125.24
ID0064,95.4
ID0065,92.68
ID0066,450.92
ID0067,155.48
ID0068,170.6
ID0069,321
ID0070,85
ID0071,156.64
ID0072,204.64
ID0073,34.12
ID0074,44.96
ID0075,92.88
ID0076,75.88
ID0077,131.12
ID0078,121.96
ID0079,244.6
ID0080,0
ID0081,152
ID0082,59.52
ID0083,180.04
ID0084,141.76
ID0085,114.6
ID0086,92.48
ID0087,100.08
ID0088,194.64
ID0089,139.72
ID0090,67.88
ID0091,106.52
ID0092,110.08
ID0093,176.64
ID0094,156.36
ID0095,83
ID0096,157.2
ID0097,132.16
ID0098,62.8
ID0099,32
ID0100,120.92
ID0101,148.92
ID0102,163.72
ID0103,256.24
ID0104,242.36
ID0105,150.96
ID0106,141.56
ID0107,206.36
ID0108,178.76
ID0109,NA
ID0110,123.8
ID0111,169.76
ID0112,105.72
ID0113,188.68
ID0114,170.2
ID0115,240.6
ID0116,89.76
ID0117,127.12
ID0118,134.36
ID0119,46.6
ID0120,32.4
ID0121,148.2
ID0122,NA
ID0123,159.2
ID0124,84
ID0125,169.84
ID0126,24.64
ID0127,366.12
ID0128,174.92
ID0129,120.56
ID0130,153.68
