household_ID,boiling_factor
ID0001,0
ID0002,0
ID0003,1
ID0004,0
ID0005,1
ID0006,0
ID0007,1
ID0008,1
ID0009,0
ID0010,0
ID0011,0
ID0012,1
ID0013,0
ID0014,0
ID0015,0
ID0016,0
ID0017,1
ID0018,0
ID0019,0
ID0020,0
ID0021,0
ID0022,0
ID0023,1
ID0024,0
ID0025,0
ID0026,1
ID0027,0
ID0028,0
ID0029,1
ID0030,0
ID0031,0
ID0032,0
ID0033,0
ID0034,0
ID0035,0
ID0036,0
ID0037,0
ID0038,0
ID0039,0
ID0040,0
ID0041,0
ID0042,0
ID0043,0
ID0044,0
ID0045,0
ID0046,0
ID0047,0
ID0048,0
ID0049,0
ID0050,0
ID0051,0
ID0052,0
ID0053,0
ID0054,0
ID0055,0
ID0056,0
ID0057,0
ID0058,1
ID0059,0
ID0060,0
ID0061,0
ID0062,0
ID0063,0
ID0064,0
ID0065,0
ID0066,0
ID0067,1
ID0068,0
ID0069,1
ID0070,0
ID0071,0
ID0072,0
ID0073,0
ID0074,0
ID0075,1
ID0076,0
ID0077,0
ID0078,0
ID0079,0
ID0080,0
ID0081,0
ID0082,0
ID0083,0
ID0084,0
ID0085,0
ID0086,0
ID0087,0
ID0088,0
ID0089,0
ID0090,0
ID0091,1
ID0092,0
ID0093,0
ID0094,0
ID0095,0
ID0096,0
ID0097,0
ID0098,0
ID0099,0
ID0100,1
ID0101,1
ID0102,0
ID0103,1
ID0104,1
ID0105,0
ID0106,0
ID0107,0
ID0108,1
ID0109,1
ID0110,0
ID0111,0
ID0112,0
ID0113,0
ID0114,0
ID0115,0
ID0116,1
ID0117,0
ID0118,0
ID0119,0
ID0120,0
ID0121,0
ID0122,0
ID0123,0
ID0124,0
ID0125,0
ID0126,0
ID0127,0
ID0128,0
ID0129,0
ID0130,0
ID0131,0
ID0132,0
ID0133,0
ID0134,0
ID0135,0
ID0136,0
ID0137,1
ID0138,0
ID0139,0
ID0140,0
ID0141,1
ID0142,0
ID0143,0
ID0144,0
ID0145,0
ID0146,0
ID0147,0
ID0148,0
ID0149,0
ID0150,0
ID0151,0
ID0152,0
ID0153,0
ID0154,1
ID0155,0
ID0156,0
ID0157,0
ID0158,0
ID0159,0
ID0160,0
ID0161,0
ID0162,0
ID0163,0
ID0164,0
ID0165,0
ID0166,0
ID0167,0
ID0168,0
ID0169,0
ID0170,0
ID0171,0
ID0172,0
ID0173,0
ID0174,0
ID0175,0
ID0176,0
ID0177,0
ID0178,0
ID0179,0
ID0180,0
ID0181,0
ID0182,0
ID0183,0
ID0184,0
ID0185,1
ID0186,0
ID0187,0
ID0188,0
ID0189,1
ID0190,0
ID0191,0
ID0192,0
ID0193,0
ID0194,1
ID0195,0
ID0196,0
ID0197,0
ID0198,0
ID0199,0
ID0200,0
ID0201,0
ID0202,0
ID0203,0
ID0204,0
ID0205,0
ID0206,0
ID0207,0
ID0208,0
ID0209,0
ID0210,0
ID0211,0
ID0212,0
ID0213,0
ID0214,0
ID0215,0
ID0216,0
ID0217,0
ID0218,0
ID0219,0
ID0220,0
ID0221,0
ID0222,0
ID0223,0
ID0224,0
ID0225,0
ID0226,0
ID0227,0
ID0228,0
ID0229,0
ID0230,0
ID0231,0
ID0232,0
ID0233,0
ID0234,0
ID0235,0
ID0236,0
ID0237,0
ID0238,0
ID0239,0
ID0240,0
ID0241,1
ID0242,0
ID0243,0
ID0244,0
ID0245,0
ID0246,0
ID0247,1
ID0248,0
ID0249,0
ID0250,0
ID0251,0
ID0252,0
ID0253,0
ID0254,0
ID0255,1
ID0256,0
ID0257,0
ID0258,0
ID0259,0
ID0260,1
ID0261,0
ID0262,0
ID0263,0
ID0264,0
ID0265,0
ID0266,0
ID0267,0
ID0268,0
ID0269,0
ID0270,0
ID0271,1
ID0272,0
ID0273,0
ID0274,0
ID0275,0
ID0276,1
ID0277,0
ID0278,1
ID0279,0
ID0280,1
ID0281,0
ID0282,1
ID0283,0
ID0284,0
ID0285,0
ID0286,0
ID0287,0
ID0288,0
ID0289,1
ID0290,0
ID0291,0
ID0292,0
ID0293,0
ID0294,0
ID0295,0
ID0296,0
ID0297,0
ID0298,0
ID0299,0
ID0300,0
ID0301,0
ID0302,0
ID0303,0
ID0304,1
ID0305,0
ID0306,0
ID0307,0
ID0308,0
ID0309,0
ID0310,0
ID0311,0
ID0312,0
ID0313,1
ID0314,0
ID0315,0
ID0316,0
ID0317,0
ID0318,0
ID0319,0
ID0320,0
ID0321,1
ID0322,0
ID0323,0
ID0324,0
ID0325,0
ID0326,0
ID0327,0
ID0328,0
ID0329,0
ID0330,0
ID0331,0
ID0332,0
ID0333,0
ID0334,0
ID0335,0
ID0336,0
ID0337,0
ID0338,0
ID0339,0
ID0340,0
ID0341,0
ID0342,1
ID0343,0
ID0344,0
ID0345,0
ID0346,0
ID0347,0
ID0348,0
ID0349,0
ID0350,0
ID0351,0
ID0352,0
ID0353,0
ID0354,0
ID0355,0
ID0356,0
ID0357,0
ID0358,0
ID0359,0
ID0360,0
ID0361,0
ID0362,0
ID0363,0
ID0364,0
ID0365,0
ID0366,0
ID0367,0
ID0368,0
ID0369,0
ID0370,0
ID0371,0
ID0372,0
ID0373,0
ID0374,0
ID0375,0
ID0376,0
ID0377,0
ID0378,0
ID0379,0
ID0380,0
ID0381,0
ID0382,0
ID0383,0
ID0384,0
ID0385,0
ID0386,0
ID0387,0
ID0388,0
ID0389,0
ID0390,0
ID0391,0
ID0392,0
ID0393,0
ID0394,0
ID0395,0
ID0396,0
ID0397,0
ID0398,0
ID0399,0
ID0400,0
ID0401,0
ID0402,1
ID0403,0
ID0404,0
ID0405,0
ID0406,1
ID0407,0
ID0408,0
ID0409,0
ID0410,1
ID0411,0
ID0412,0
ID0413,0
ID0414,0
ID0415,0
ID0416,1
ID0417,0
ID0418,0
ID0419,0
ID0420,0
ID0421,0
ID0422,0
ID0423,0
ID0424,0
ID0425,0
ID0426,0
ID0427,0
ID0428,0
ID0429,0
ID0430,0
ID0431,0
ID0432,0
ID0433,0
ID0434,0
ID0435,0
ID0436,0
ID0437,0
ID0438,0
ID0439,0
ID0440,0
ID0441,0
ID0442,0
ID0443,0
ID0444,1
ID0445,0
ID0446,1
ID0447,0
ID0448,0
ID0449,0
ID0450,1
ID0451,0
ID0452,0
ID0453,1
ID0454,0
ID0455,0
ID0456,0
ID0457,0
ID0458,0
ID0459,0
ID0460,0
ID0461,0
ID0462,0
ID0463,0
ID0464,0
ID0465,0
ID0466,1
ID0467,0
ID0468,0
ID0469,0
ID0470,1
ID0471,1
ID0472,0
ID0473,0
ID0474,0
ID0475,0
ID0476,0
ID0477,0
ID0478,0
ID0479,0
ID0480,0
ID0481,0
ID0482,0
ID0483,0
ID0484,0
ID0485,0
ID0486,0
ID0487,1
ID0488,0
ID0489,0
ID0490,0
ID0491,0
ID0492,0
ID0493,0
ID0494,0
ID0495,0
ID0496,0
ID0497,0
ID0498,0
ID0499,0
ID0500,0
ID0501,0
ID0502,0
ID0503,0
ID0504,0
ID0505,0
ID0506,0
ID0507,0
ID0508,0
ID0509,0
ID0510,1
ID0511,0
ID0512,0
ID0513,0
ID0514,0
ID0515,0
ID0516,0
ID0517,0
ID0518,0
ID0519,0
ID0520,0
ID0521,0
ID0522,0
ID0523,0
ID0524,1
ID0525,0
ID0526,0
ID0527,0
ID0528,0
ID0529,0
ID0530,0
ID0531,1
ID0532,0
ID0533,0
ID0534,0
ID0535,0
ID0536,0
ID0537,0
ID0538,0
ID0539,0
ID0540,0
ID0541,0
ID0542,1
ID0543,0
ID0544,1
ID0545,0
ID0546,0
ID0547,0
ID0548,0
ID0549,0
ID0550,0
ID0551,0
ID0552,1
ID0553,1
ID0554,0
ID0555,0
ID0556,0
ID0557,0
ID0558,0
ID0559,0
ID0560,0
ID0561,0
ID0562,0
ID0563,0
ID0564,0
ID0565,0
ID0566,0
ID0567,0
ID0568,0
ID0569,0
ID0570,0
ID0571,0
ID0572,1
ID0573,1
ID0574,1
ID0575,0
ID0576,0
ID0577,0
ID0578,0
ID0579,1
ID0580,0
ID0581,0
ID0582,0
ID0583,0
ID0584,0
ID0585,0
ID0586,0
ID0587,0
ID0588,0
ID0589,0
ID0590,0
ID0591,0
ID0592,0
ID0593,0
ID0594,0
ID0595,0
ID0596,0
ID0597,1
ID0598,0
ID0599,0
ID0600,0
ID0601,0
ID0602,0
ID0603,0
ID0604,0
ID0605,0
ID0606,0
