household_ID,NoOfHoursStay
ID0001,556.0
ID0002,336.0
ID0003,468.0
ID0004,456.0
ID0005,252.0
ID0006,623.5
ID0007,454.0
ID0008,450.0
ID0009,142.0
ID0010,674.0
ID0011,85.0
ID0012,840.0
ID0013,168.0
ID0014,498.0
ID0015,292.0
ID0016,674.0
ID0017,528.0
ID0018,806.0
ID0019,562.0
ID0020,416.0
ID0021,620.0
ID0022,502.0
ID0023,300.0
ID0024,328.0
ID0025,240.0
ID0026,435.0
ID0027,687.0
ID0028,532.0
ID0029,486.0
ID0030,622.0
ID0031,504.0
ID0032,656.0
ID0033,446.0
ID0034,1148.0
ID0035,586.0
ID0036,442.5
ID0037,168.0
ID0038,360.0
ID0039,504.0
ID0040,111.0
ID0041,175.0
ID0042,277.0
ID0043,474.0
ID0044,168.0
ID0045,328.5
ID0046,428.0
ID0047,294.0
ID0048,642.0
ID0049,808.5
ID0050,726.0
ID0051,80.0
ID0052,315.0
ID0053,661.0
ID0054,516.0
ID0055,352.6
ID0056,2.0
ID0057,669.0
ID0058,21.0
ID0059,336.0
ID0060,518.0
ID0061,389.5
ID0062,336.0
ID0063,840.0
ID0064,445.0
ID0065,336.0
ID0066,653.0
ID0067,504.0
ID0068,877.0
ID0069,661.0
ID0070,968.0
ID0071,282.0
ID0072,1176.0
ID0073,580.0
ID0074,715.0
ID0075,567.0
ID0076,453.5
ID0077,381.0
ID0078,336.0
ID0079,944.0
ID0080,987.0
ID0081,492.0
ID0082,120.0
ID0083,336.0
ID0084,1166.0
ID0085,664.0
ID0086,526.0
ID0087,756.0
ID0088,336.0
ID0089,228.0
ID0090,276.0
ID0091,336.0
ID0092,434.0
ID0093,681.0
ID0094,681.0
ID0095,388.0
ID0096,439.0
ID0097,612.0
ID0098,116.0
ID0099,168.0
ID0100,409.0
ID0101,144.0
ID0102,1202.0
ID0103,216.0
ID0104,20.0
ID0105,496.0
ID0106,450.0
ID0107,531.0
ID0108,1171.0
ID0109,429.0
ID0110,676.0
ID0111,930.0
ID0112,136.0
ID0113,478.5
ID0114,630.0
ID0115,336.0
ID0116,363.0
ID0117,567.0
ID0118,348.0
ID0119,498.0
ID0120,240.0
ID0121,221.0
ID0122,154.0
ID0123,360.0
ID0124,801.0
ID0125,658.0
ID0126,426.0
ID0127,565.0
ID0128,420.0
ID0129,365.0
ID0130,717.0
ID0131,631.0
ID0132,403.0
ID0133,703.275
ID0134,551.0
ID0135,168.0
ID0136,216.0
ID0137,672.0
ID0138,20.0
ID0139,880.0
ID0140,590.0
ID0141,428.0
ID0142,707.0
ID0143,453.0
ID0144,160.0
ID0145,820.0
ID0146,1000.0
ID0147,552.0
ID0148,498.0
ID0149,646.0
ID0150,813.0
ID0151,574.0
ID0152,686.0
ID0153,536.0
ID0154,570.0
ID0155,258.0
ID0156,294.0
ID0157,444.0
ID0158,426.0
ID0159,552.0
ID0160,1.0
ID0161,250.0
ID0162,387.0
ID0163,180.0
ID0164,916.0
ID0165,553.0
ID0166,536.0
ID0167,298.0
ID0168,618.0
ID0169,495.0
ID0170,314.0
ID0171,842.0
ID0172,429.0
ID0173,336.0
ID0174,670.0
ID0175,281.0
ID0176,360.0
ID0177,466.0
ID0178,428.0
ID0179,698.0
ID0180,778.0
ID0181,909.0
ID0182,628.0
ID0183,224.0
ID0184,624.0
ID0185,282.0
ID0186,553.0
ID0187,336.0
ID0188,336.0
ID0189,588.0
ID0190,434.0
ID0191,500.0
ID0192,270.0
ID0193,629.0
ID0194,411.0
ID0195,338.0
ID0196,588.0
ID0197,986.0
ID0198,399.5
ID0199,288.0
ID0200,252.0
ID0201,504.0
ID0202,318.0
ID0203,138.0
ID0204,465.0
ID0205,504.0
ID0206,735.0
ID0207,672.0
ID0208,300.0
ID0209,310.0
ID0210,480.0
ID0211,840.0
ID0212,168.0
ID0213,336.0
ID0214,336.0
ID0215,336.0
ID0216,632.0
ID0217,332.0
ID0218,203.0
ID0219,434.0
ID0220,330.0
ID0221,815.0
ID0222,591.0
ID0223,402.0
ID0224,189.0
ID0225,422.0
ID0226,433.0
ID0227,333.0
ID0228,168.0
ID0229,616.0
ID0230,318.0
ID0231,445.0
ID0232,434.0
ID0233,747.0
ID0234,300.0
ID0235,356.0
ID0236,392.0
ID0237,537.0
ID0238,394.0
ID0239,788.0
ID0240,830.0
ID0241,504.0
ID0242,815.0
ID0243,840.0
ID0244,280.0
ID0245,640.0
ID0246,504.0
ID0247,728.0
ID0248,531.0
ID0249,481.0
ID0250,444.0
ID0251,592.0
ID0252,132.0
ID0253,519.0
ID0254,406.0
ID0255,516.0
ID0256,574.0
ID0257,444.0
ID0258,552.0
ID0259,470.0
ID0260,336.0
ID0261,548.9
ID0262,504.0
ID0263,634.0
ID0264,572.0
ID0265,945.0
ID0266,432.0
ID0267,680.0
ID0268,238.0
ID0269,636.0
ID0270,922.0
ID0271,166.0
ID0272,518.0
ID0273,868.0
ID0274,828.0
ID0275,600.0
ID0276,404.0
ID0277,777.0
ID0278,650.2
ID0279,333.0
ID0280,580.0
ID0281,336.0
ID0282,291.0
ID0283,602.0
ID0284,392.0
ID0285,1004.0
ID0286,574.0
ID0287,877.0
ID0288,724.0
ID0289,432.0
ID0290,16.0
ID0291,0.0
ID0292,1344.0
ID0293,0.0
ID0294,449.0
ID0295,405.0
ID0296,792.0
ID0297,579.0
ID0298,480.0
ID0299,413.0
ID0300,561.3
ID0301,744.0
ID0302,456.0
ID0303,301.0
ID0304,704.0
ID0305,672.0
ID0306,516.0
ID0307,150.0
ID0308,1381.0
ID0309,256.0
ID0310,265.0
ID0311,280.0
ID0312,336.0
ID0313,300.0
ID0314,1145.0
ID0315,434.0
ID0316,417.0
ID0317,840.0
ID0318,661.0
ID0319,648.0
ID0320,317.0
ID0321,642.0
ID0322,188.8
ID0323,504.0
ID0324,168.0
ID0325,434.0
ID0326,571.0
ID0327,840.0
ID0328,200.0
ID0329,647.0
ID0330,450.0
ID0331,364.0
ID0332,397.0
ID0333,704.0
ID0334,980.0
ID0335,594.0
ID0336,630.0
ID0337,756.0
ID0338,420.0
ID0339,607.0
ID0340,504.0
ID0341,182.0
ID0342,336.0
ID0343,723.05
ID0344,636.0
ID0345,632.0
ID0346,664.0
ID0347,481.3
ID0348,656.0
ID0349,1538.0
ID0350,390.0
ID0351,549.5
ID0352,412.0
ID0353,192.0
ID0354,745.0
ID0355,674.0
ID0356,420.0
ID0357,333.0
ID0358,430.0
ID0359,796.0
ID0360,752.5
ID0361,296.0
ID0362,307.0
ID0363,1512.0
ID0364,588.0
ID0365,504.0
ID0366,288.0
ID0367,574.0
ID0368,969.7
ID0369,340.0
ID0370,496.0
ID0371,652.0
ID0372,502.0
ID0373,192.0
ID0374,714.0
ID0375,836.0
ID0376,255.0
ID0377,360.0
ID0378,231.0
ID0379,504.0
ID0380,168.0
ID0381,616.0
ID0382,458.0
ID0383,336.0
ID0384,168.0
ID0385,660.0
