household_ID,no_of_household_members
ID0001,4
ID0002,3
ID0003,4
ID0004,4
ID0005,2
ID0006,6
ID0007,4
ID0008,5
ID0009,2
ID0010,7
ID0011,5
ID0012,7
ID0013,1
ID0014,4
ID0015,3
ID0016,5
ID0017,4
ID0018,7
ID0019,5
ID0020,3
ID0021,4
ID0022,4
ID0023,2
ID0024,2
ID0025,3
ID0026,5
ID0027,6
ID0028,4
ID0029,3
ID0030,4
ID0031,3
ID0032,4
ID0033,4
ID0034,8
ID0035,6
ID0036,4
ID0037,1
ID0038,3
ID0039,3
ID0040,4
ID0041,2
ID0042,2
ID0043,3
ID0044,1
ID0045,3
ID0046,4
ID0047,3
ID0048,5
ID0049,8
ID0050,6
ID0051,1
ID0052,4
ID0053,5
ID0054,5
ID0055,3
ID0056,1
ID0057,5
ID0058,1
ID0059,2
ID0060,5
ID0061,3
ID0062,3
ID0063,5
ID0064,4
ID0065,2
ID0066,5
ID0067,3
ID0068,7
ID0069,4
ID0070,8
ID0071,3
ID0072,7
ID0073,4
ID0074,5
ID0075,5
ID0076,4
ID0077,3
ID0078,2
ID0079,6
ID0080,7
ID0081,5
ID0082,5
ID0083,2
ID0084,8
ID0085,5
ID0086,4
ID0087,5
ID0088,2
ID0089,5
ID0090,2
ID0091,3
ID0092,3
ID0093,5
ID0094,5
ID0095,3
ID0096,4
ID0097,5
ID0098,6
ID0099,1
ID0100,4
ID0101,3
ID0102,8
ID0103,2
ID0104,2
ID0105,4
ID0106,4
ID0107,4
ID0108,10
ID0109,4
ID0110,5
ID0111,6
ID0112,2
ID0113,4
ID0114,5
ID0115,2
ID0116,3
ID0117,4
ID0118,3
ID0119,4
ID0120,2
ID0121,5
ID0122,2
ID0123,4
ID0124,6
ID0125,7
ID0126,3
ID0127,4
ID0128,3
ID0129,3
ID0130,5
ID0131,4
ID0132,3
ID0133,7
ID0134,4
ID0135,1
ID0136,3
ID0137,4
ID0138,1
ID0139,6
ID0140,5
ID0141,5
ID0142,5
ID0143,4
ID0144,1
ID0145,6
ID0146,8
ID0147,4
ID0148,4
ID0149,5
ID0150,6
ID0151,4
ID0152,5
ID0153,4
ID0154,6
ID0155,3
ID0156,3
ID0157,3
ID0158,3
ID0159,6
ID0160,1
ID0161,3
ID0162,4
ID0163,4
ID0164,6
ID0165,6
ID0166,5
ID0167,3
ID0168,5
ID0169,5
ID0170,3
ID0171,7
ID0172,4
ID0173,2
ID0174,4
ID0175,2
ID0176,3
ID0177,4
ID0178,4
ID0179,5
ID0180,5
ID0181,7
ID0182,4
ID0183,2
ID0184,5
ID0185,3
ID0186,4
ID0187,4
ID0188,3
ID0189,4
ID0190,3
ID0191,5
ID0192,2
ID0193,5
ID0194,3
ID0195,3
ID0196,5
ID0197,6
ID0198,3
ID0199,2
ID0200,2
ID0201,4
ID0202,2
ID0203,5
ID0204,4
ID0205,3
ID0206,6
ID0207,4
ID0208,2
ID0209,2
ID0210,4
ID0211,5
ID0212,1
ID0213,2
ID0214,2
ID0215,2
ID0216,5
