household_ID,SumOfAppliances
ID0001,98.0
ID0002,168.0
ID0003,226.51
ID0004,218.0
ID0005,391.5
ID0006,243.15
ID0007,170.83
ID0008,215.75
ID0009,35.33
ID0010,221.25
ID0011,168.58
ID0012,489.97
ID0013,185.0
ID0014,201.25
ID0015,213.48
ID0016,185.5
ID0017,77.0
ID0018,202.82
ID0019,176.75
ID0020,178.0
ID0021,58.45
ID0022,213.8
ID0023,33.5
ID0024,198.0
ID0025,190.0
ID0026,213.0
ID0027,171.0
ID0028,256.9
ID0029,188.7
ID0030,168.3
ID0031,1.0
ID0032,94.0
ID0033,207.0
ID0034,250.36
ID0035,23.0
ID0036,192.83
ID0037,27.25
ID0038,3.75
ID0039,209.025
ID0040,35.46
ID0041,201.05
ID0042,35.75
ID0043,291.565
ID0044,0.1
ID0045,182.25
ID0046,203.76
ID0047,4.0
ID0048,215.0
ID0049,176.4
ID0050,239.0
ID0051,28.33
ID0052,173.99
ID0053,191.75
ID0054,184.0
ID0055,193.67
ID0056,5.8
ID0057,199.75
ID0058,190.0
ID0059,221.85
ID0060,67.33
ID0061,136.5
ID0062,108.75
ID0063,175.5
ID0064,226.35
ID0065,16.65
ID0066,210.54
ID0067,168.05
ID0068,360.0
ID0069,193.86
ID0070,220.5
ID0071,188.16
ID0072,195.43
ID0073,197.726
ID0074,222.63
ID0075,202.55
ID0076,3.25
ID0077,169.91
ID0078,171.55
ID0079,263.5
ID0080,180.5
ID0081,229.0
ID0082,54.25
ID0083,186.15
ID0084,267.08
ID0085,192.9
ID0086,175.63
ID0087,201.3
ID0088,181.5
ID0089,220.75
ID0090,175.05
ID0091,141.93
ID0092,210.24
ID0093,265.75
ID0094,23.721
ID0095,206.5
ID0096,170.5
ID0097,242.3
ID0098,203.25
ID0099,0.0
ID0100,185.52
ID0101,77.25
ID0102,188.75
ID0103,187.96
ID0104,227.5
ID0105,281.5
ID0106,208.0
ID0107,216.25
ID0108,270.91
ID0109,360.83
ID0110,200.41
ID0111,187.0
ID0112,189.5
ID0113,185.3
ID0114,375.9
ID0115,212.5
ID0116,219.0
ID0117,182.25
ID0118,213.0
ID0119,1.66
ID0120,1.75
ID0121,78.0
ID0122,0.0
ID0123,187.5
ID0124,221.025
ID0125,181.7
