household_ID,Consumption,boiling_factor,NoOfHoursStay,no_of_household_members,SumOfAppliances,TotWatageAC
ID2526,25.922499072,0.0,421.0,4.0,199.0,2200.0
ID3714,20.761216974,0.0,712.0,5.0,34.5,0.0
ID3365,19.19757336,0.0,240.0,2.0,4.0,18.0
ID0437,27.030353832000003,0.0,892.0,6.0,35.0,0.0
ID3492,20.4925484402,0.0,586.0,4.0,81.5,2.4
ID3658,23.3956637452,0.0,384.0,3.0,207.0,130.0
ID0991,14.01303357,0.0,602.0,4.0,22.0,0.0
ID1768,59.24155705,0.0,746.0,7.0,320.0,13.6
ID2465,24.819192742,0.0,372.0,3.0,49.5,58.0
ID1963,27.8654883666,0.0,168.0,1.0,97.16,0.0
ID3497,19.366597647400003,0.0,386.0,3.0,184.5,0.0
ID1179,7.045763316,0.0,624.0,4.0,1.16,0.0
ID2910,23.84332494,0.0,550.75,4.0,247.08,400.0
ID3206,23.798614228,0.0,699.0,6.0,183.8,7.4
ID3434,23.3685816756,0.0,804.5,7.0,7.81,10.0
ID3861,5.6775478792000005,0.0,168.0,1.0,203.1,0.0
ID2091,22.69742894,0.0,1082.0,7.0,214.5,6.0
ID0284,15.5352608,0.0,392.0,4.0,170.75,0.0
ID0713,21.8549785336,0.0,595.0,5.0,360.8,0.0
ID0275,28.631471778,0.0,600.0,5.0,194.55,862.0
ID2308,19.422083124,0.0,150.0,1.0,178.0,0.0
ID0622,32.277516388,0.0,904.0,6.0,179.3,2403.0
ID1492,21.57309762,0.0,408.0,4.0,157.66,0.0
ID0913,20.65601563,0.0,264.0,2.0,182.0,0.0
ID1651,18.288893868,0.0,201.0,4.0,197.33,0.0
ID1648,30.591697718,0.0,522.0,4.0,57.25,40.0
ID3542,28.37215928,0.0,498.0,4.0,190.0,0.0
ID3869,17.840539434,0.0,582.0,5.0,193.0,602.4
ID0424,14.658068355999998,0.0,314.0,3.0,141.8,2.4
ID3037,19.470568118,0.0,581.0,5.0,191.1,602.4
ID2426,16.5614701016,0.0,80.0,1.0,185.0,253.0
ID0507,24.79713855,0.0,420.0,3.0,205.0,620.0
ID1323,45.465767076,0.0,480.0,4.0,408.88,722.4
ID3898,26.832352862,0.0,433.0,5.0,233.435,4.0
ID3621,30.960038542,0.0,456.0,3.0,192.0,3.0
ID3689,32.156725692,0.0,504.0,3.0,185.0,2400.0
