household_ID,month,consumption
ID2788,2022-10-31,179
ID2426,2022-12-31,116
ID2982,2024-08-31,73
ID2923,2024-10-31,667
ID3480,2023-01-31,150
ID2103,2024-06-30,55
ID1709,2023-06-30,181
ID1580,2024-05-31,93
ID3287,2024-07-31,132
ID0991,2022-12-31,37
ID0336,2022-10-31,123
ID2659,2023-09-30,63
ID3578,2024-01-31,100
ID1588,2024-10-31,287
ID2133,2023-06-30,147
ID3780,2024-04-30,198
ID3167,2023-06-30,160
ID2742,2024-08-31,66
ID3365,2024-02-29,75
ID0804,2023-04-30,6
ID1008,2023-05-31,91
ID2213,2023-01-31,49
ID1466,2023-08-31,218
ID3684,2023-07-31,126
ID2577,2024-07-31,185
ID0135,2023-02-28,141
ID3543,2023-11-30,56
ID2362,2023-01-31,36
ID3255,2023-01-31,166
ID0758,2023-11-30,74
ID1968,2023-07-31,85
ID2186,2024-03-31,976
ID3656,2023-12-31,39
ID1948,2023-05-31,87
ID0439,2023-01-31,83
ID1386,2024-02-29,109
ID1926,2024-03-31,186
ID3493,2024-07-31,96
ID0954,2024-07-31,97
ID3425,2024-10-31,116
ID0902,2024-02-29,156
ID2436,2024-04-30,117
ID4005,2022-12-31,1
ID2631,2022-10-31,111
ID1560,2024-10-31,30
ID3139,2023-08-31,94
ID1542,2023-01-31,51
ID2238,2023-06-30,34
ID3686,2023-09-30,204
ID2406,2023-09-30,76
ID3831,2023-12-31,93
ID0328,2023-06-30,14
ID1595,2023-06-30,77
ID2138,2023-12-31,82
ID2125,2023-11-30,0
ID2876,2024-02-29,155
ID0366,2024-01-31,94
ID3746,2024-03-31,46
ID0553,2022-11-30,0
ID1555,2023-12-31,113
ID0704,2024-05-31,211
ID0586,2023-09-30,118
ID3450,2023-05-31,204
ID2141,2023-03-31,181
ID2937,2023-10-31,132
ID1269,2024-03-31,0
ID0143,2023-04-30,80
ID3166,2023-08-31,23
ID0219,2024-03-31,128
ID0710,2024-03-31,135
ID1963,2024-04-30,2
ID3486,2024-02-29,148
ID2542,2024-04-30,8
ID3445,2023-06-30,217
ID0019,2023-08-31,83
ID2734,2024-02-29,82
ID1483,2023-09-30,79
ID1014,2023-02-28,18
ID3794,2023-12-31,240
ID1990,2023-04-30,105
ID1155,2024-09-30,60
ID0480,2023-06-30,90
ID1652,2024-06-30,60
ID1072,2023-01-31,96
ID3110,2024-10-31,126
ID3671,2024-05-31,95
ID2013,2024-06-30,56
ID3757,2023-01-31,32
ID3270,2024-10-31,77
ID0183,2023-08-31,12
ID1113,2024-05-31,70
ID2327,2023-11-30,14
ID2558,2024-04-30,131
ID2480,2023-02-28,212
ID3293,2023-04-30,415
ID3618,2023-08-31,100
ID2337,2023-09-30,33
ID2282,2024-05-31,102
ID1613,2024-08-31,307
ID2863,2024-06-30,0
ID0793,2023-07-31,256
ID2728,2023-02-28,47
ID2845,2023-07-31,96
ID2272,2024-07-31,20
ID2561,2022-11-30,257
ID2947,2024-10-31,0
ID2500,2024-03-31,47
ID0878,2022-11-30,84
ID0544,2022-10-31,189
ID2419,2023-05-31,160
ID1214,2023-07-31,466
ID2350,2023-04-30,331
ID2308,2023-12-31,135
ID2883,2024-09-30,97
ID0349,2023-11-30,83
ID0592,2024-04-30,137
ID1999,2024-06-30,48
ID3069,2023-01-31,286
ID1028,2024-02-29,172
ID2293,2024-05-31,219
ID4029,2024-01-31,102
ID1588,2023-12-31,271
ID3807,2022-12-31,59
ID2203,2023-03-31,51
ID1076,2024-04-30,76
ID3669,2024-01-31,91
ID0973,2022-11-30,137
ID1617,2024-07-31,87
ID0760,2023-02-28,18
ID3920,2024-04-30,0
ID2366,2024-08-31,90
ID3271,2023-10-31,98
ID3753,2022-11-30,0
ID0895,2023-04-30,142
ID2875,2023-04-30,44
ID1641,2024-04-30,181
ID1936,2023-10-31,88
ID2574,2022-12-31,16
ID3456,2023-05-31,100
ID2213,2024-05-31,122
ID0599,2023-05-31,115
ID2223,2024-03-31,275
ID2691,2024-09-30,116
ID0634,2024-02-29,123
ID1905,2023-11-30,31
ID1453,2024-09-30,0
ID1200,2023-06-30,111
ID4002,2023-10-31,71
ID2179,2023-09-30,204
ID1537,2023-10-31,50
ID0211,2023-04-30,86
ID0469,2022-11-30,136
